index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
0,2512,Florence Elementary School,public,Florence,76527,PK-5,4,4,6.4,30.84529,-97.79381,486
1,2513,Florence High School,public,Florence,76527,9-12,4,3,5.9,30.832527,-97.798096,308
2,2516,Florence Middle School,public,Florence,76527,6-8,4,4,6.4,30.83157,-97.79259,231
3,7299,Sts. Cyril and Methodius Catholic,private,Granger,76530,PK-6,4,4,6.4,30.707022,-97.416504,231
4,3063,Granger School,public,Granger,76530,PK-12,4,4,6.4,30.717693,-97.44278,406
5,3803,Jarrell Elementary School,public,Jarrell,76537,PK-2,4,3,5.9,30.82491,-97.604454,531
6,3804,Jarrell High School,public,Jarrell,76537,9-12,4,5,6.9,30.82491,-97.604454,390
7,3805,Jarrell Middle School,public,Jarrell,76537,6-8,3,4,5.300000000000001,30.82491,-97.604454,288
8,24996,Jarrell Intermediate School,public,Jarrell,76537,3-5,4,4,6.4,30.82491,-97.604454,214
9,7297,St Mary's Catholic School,private,Taylor,76574,PK-8,4,5,6.9,30.572277,-97.40736,175
10,7752,St Paul Lutheran School,private,Taylor,76574,PK-5,4,5,6.9,30.572395,-97.41327,72
11,6577,Main Street Intermediate School,public,Taylor,76574,4-5,5,4,7.5,30.593216,-97.417496,436
12,6579,Naomi Pasemann Elementary School,public,Taylor,76574,1-3,5,2,6.5,30.589348,-97.430336,670
13,6575,Taylor High School,public,Taylor,76574,9-12,3,3,4.800000000000001,30.547806,-97.42882,1001
14,6576,Taylor Middle School,public,Taylor,76574,6-8,3,3,4.800000000000001,30.599075,-97.42869,710
15,6644,Thrall Elementary School,public,Thrall,76578,PK-4,6,4,8.600000000000001,30.588749,-97.29388,289
16,6645,Thrall High School,public,Thrall,76578,9-12,6,5,9.100000000000001,30.588749,-97.29388,217
17,10036,Thrall Middle School,public,Thrall,76578,5-8,7,5,10.200000000000001,30.588749,-97.29388,142
18,18857,Gateway School,public,Bastrop,78602,6-12,7,5,10.200000000000001,30.095057,-97.3204,47
19,676,Emile Elementary School,public,Bastrop,78602,PK-4,3,5,5.800000000000001,30.107655,-97.31039,584
20,679,Mina Elementary School,public,Bastrop,78602,PK-4,5,3,7.0,30.113,-97.314896,543
21,24312,Calvary Episcopal School,private,Bastrop,78602,PK-5,5,3,7.0,30.111212,-97.32071,100
22,683,Genesis High School,public,Bastrop,78602,9-12,5,5,8.0,30.116964,-97.3151,74
23,24898,Colorado River Collegiate Academy,public,Bastrop,78602,9-12,8,5,11.3,30.116964,-97.3151,107
24,677,Bastrop High School,public,Bastrop,78602,9-12,4,4,6.4,30.117737,-97.310326,1348
25,681,Bastrop Intermediate School,public,Bastrop,78602,5-6,2,3,3.7,30.113092,-97.33571,705
26,678,Bastrop Middle School,public,Bastrop,78602,7-8,4,3,5.9,30.11297,-97.34198,707
27,7896,Nazarene Christian School,private,Bastrop,78602,PK-12,4,3,5.9,30.098392,-97.260124,707
28,27,Jack C Hays High School,public,Buda,78610,9-12,5,3,7.0,30.032078,-97.88938,2611
29,9651,Live Oak Academy,public,Buda,78610,9-12,5,4,7.5,30.029325,-97.88918,142
30,29,R C Barton Middle School,public,Buda,78610,6-8,7,4,9.700000000000001,30.027357,-97.89095,1027
31,10148,Cedar Creek Intermediate School,public,Cedar Creek,78612,5-6,3,3,4.800000000000001,30.094069,-97.48156,802
32,9461,Cedar Creek Middle School,public,Cedar Creek,78612,7-8,5,4,7.5,30.09496,-97.479904,836
33,4257,C. C. Mason Elementary School (Col. Charles Clayborn),public,Cedar Park,78613,PK-5,4,4,6.4,30.521107,-97.855446,645
34,4252,Leander High School,public,Leander,78641,9-12,7,4,9.700000000000001,30.537853,-97.85165,2194
35,11846,Knox Wiley Middle School,public,Leander,78641,6-8,8,4,10.8,30.570274,-97.82227,951
36,24707,Priority Charter School - Leander,charter,Leander,78641,"PK, 12",8,4,10.8,30.571247,-97.82248,200
37,12028,Rouse High School,public,Leander,78641,9-12,7,4,9.700000000000001,30.572021,-97.82046,2393
38,20428,Florence W Stiles Middle School,public,Leander,78646,6-8,9,3,11.4,30.568718,-97.84873,950
39,20429,Officer Leonard A Reed Elementary School,public,Leander,78646,PK-5,4,3,5.9,30.568718,-97.84873,723
40,25601,Monta Jane Akin Elementary School,public,Leander,78646,PK-5,4,3,5.9,30.568718,-97.84873,723
41,4258,Leander Middle School,public,Leander,78641,6-8,6,4,8.600000000000001,30.573706,-97.85208,919
42,10039,New Hope High School,public,Leander,78641,9-12,8,5,11.3,30.573816,-97.85441,42
43,24893,Christine Camacho Elementary School,public,Leander,78641,PK-5,4,4,6.4,30.574112,-97.857994,602
44,1637,Coupland Elementary School,public,Coupland,78615,PK-8,6,4,8.600000000000001,30.45337,-97.390526,150
45,25405,Alma Brewer Strawn El,public,Dale,78616,PK-5,2,4,4.2,30.003544,-97.61373,17
46,9356,Pathfinder Camp,charter,Driftwood,78619,K-12,3,4,5.300000000000001,30.150454,-98.06,17
47,7904,St. Stephen's Episcopal School,private,Wimberley,78610,PK-6,3,4,5.300000000000001,30.046429,-98.00923,95
48,20128,Dragonfly International School,private,Dripping Springs,78620,PK-6,3,4,5.300000000000001,30.192316,-98.09493,75
49,25542,Sycamore Springs Middle,public,Dripping Springs,78620,6-8,3,4,5.300000000000001,30.192947,-98.093544,75
50,25543,Sycamore Springs Elementary School,public,Dripping Springs,78620,PK-5,3,4,5.300000000000001,30.192947,-98.093544,75
51,18,Dripping Springs Elementary School,public,Dripping Springs,78620,PK-5,7,5,10.200000000000001,30.190207,-98.08668,937
52,19,Dripping Springs High School,public,Dripping Springs,78620,9-12,7,4,9.700000000000001,30.190207,-98.08668,1669
53,20,Dripping Springs Middle School,public,Dripping Springs,78620,6-8,8,4,10.8,30.190207,-98.08668,1265
